Accession,Keywords,Go
Q8K9C7,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide-binding,Transferase","C:cytoplasm,F:ATP binding,F:guanylate kinase activity"
Q2S8R2,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide-binding,Reference proteome,Transferase","C:cytoplasm,F:ATP binding,F:guanylate kinase activity"
Q9KNM4,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide-binding,Reference proteome,Transferase","C:cytosol,F:ATP binding,F:guanylate kinase activity,P:nucleobase-containing small molecule interconversion"
Q9M0A5,"Complete proteome,Cytoplasm,Hydrolase,Protease,Reference proteome","C:cytosol,F:peptidase activity,P:glucosinolate metabolic process"
F4INN2,"Complete proteome,Cytoplasm,Hydrolase,Protease,Reference proteome","C:cytosol,F:peptidase activity"
Q09686,"Complete proteome,Glutamine amidotransferase,Reference proteome,Transferase","C:cytoplasm,C:cytosol,C:nucleus,F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides,F:transferase activity,P:glutamine metabolic process"
Q9M0A6,"Complete proteome,Cytoplasm,Hydrolase,Protease,Reference proteome","C:cytosol,F:peptidase activity"
Q9M0A7,"Complete proteome,Cytoplasm,Hydrolase,Protease,Reference proteome","C:cytosol,F:gamma-glutamyl-peptidase activity,F:peptidase activity,P:camalexin biosynthetic process,P:glucosinolate metabolic process"
O82225,"Complete proteome,Cytoplasm,Hydrolase,Protease,Reference proteome","C:cytosol,F:peptidase activity"
Q12288,"Complete proteome,Cytoplasm,Glutamine amidotransferase,Reference proteome,Transferase","C:cytoplasm,C:nuclear periphery,F:transferase activity,P:cellular copper ion homeostasis,P:cellular iron ion homeostasis,P:glutamine metabolic process"
Q9Y933,"ATP-binding,Complete proteome,Glutamine amidotransferase,GMP biosynthesis,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:GMP synthase (glutamine-hydrolyzing) activity,F:pyrophosphatase activity,P:glutamine metabolic process,P:GMP biosynthetic process"
Q974T4,"ATP-binding,Complete proteome,Glutamine amidotransferase,GMP biosynthesis,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:GMP synthase (glutamine-hydrolyzing) activity,P:glutamine metabolic process,P:GMP biosynthetic process"
Q8X239,"ATP-binding,Complete proteome,Glutamine amidotransferase,GMP biosynthesis,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:GMP synthase (glutamine-hydrolyzing) activity,P:glutamine metabolic process,P:GMP biosynthetic process"
P31773,"Competence,Complete proteome,Reference proteome","P:establishment of competence for transformation,P:nucleoside metabolic process"
Q8ZLI8,"Complete proteome,Reference proteome",P:nucleoside metabolic process
Q8Z222,Complete proteome,P:nucleoside metabolic process
Q8X715,Complete proteome,P:nucleoside metabolic process
Q83J92,Complete proteome,P:nucleoside metabolic process
Q8FCT3,Complete proteome,P:nucleoside metabolic process
P46846,"Complete proteome,Reference proteome","P:carbon utilization,P:DNA catabolic process,P:nucleoside metabolic process"
P39147,"Competence,Complete proteome,Reference proteome","P:establishment of competence for transformation,P:nucleoside metabolic process"
A1BJI2,"Complete proteome,Glycosyltransferase,Magnesium,Pyrimidine biosynthesis,Reference proteome,Transferase","F:orotate phosphoribosyltransferase activity,P:'de novo' UMP biosynthetic process,P:pyrimidine nucleobase biosynthetic process"
A5UNK4,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Magnesium,Metal-binding,Nucleotide biosynthesis,Nucleotide-binding,Reference proteome,Transferase","C:cytoplasm,F:ATP binding,F:kinase activity,F:magnesium ion binding,F:ribose phosphate diphosphokinase activity,P:5-phosphoribose 1-diphosphate biosynthetic process,P:nucleoside metabolic process,P:nucleotide biosynthetic process"
P36959,"3D-structure,Complete proteome,Metal-binding,NADP,Oxidoreductase,Polymorphism,Potassium,Purine metabolism,Reference proteome","C:cytosol,C:GMP reductase complex,F:GMP reductase activity,F:metal ion binding,P:nucleotide metabolic process,P:purine nucleobase metabolic process,P:purine-containing compound salvage,P:response to cold"
Q9DCZ1,"Complete proteome,Metal-binding,NADP,Oxidoreductase,Phosphoprotein,Potassium,Purine metabolism,Reference proteome","C:GMP reductase complex,F:GMP reductase activity,F:metal ion binding,P:nucleotide metabolic process,P:purine nucleobase metabolic process"
Q99L27,"Acetylation,Complete proteome,Metal-binding,NADP,Oxidoreductase,Potassium,Purine metabolism,Reference proteome","C:GMP reductase complex,F:GMP reductase activity,F:metal ion binding,P:GMP catabolic process,P:GMP metabolic process,P:monocyte differentiation,P:purine nucleobase metabolic process"
Q9Z244,"Complete proteome,Metal-binding,NADP,Oxidoreductase,Phosphoprotein,Potassium,Purine metabolism,Reference proteome","C:GMP reductase complex,F:GMP reductase activity,F:metal ion binding,P:nucleotide metabolic process,P:purine nucleobase metabolic process,P:response to cold"
Q9P2T1,"3D-structure,Acetylation,Alternative splicing,Complete proteome,Metal-binding,NADP,Oxidoreductase,Polymorphism,Potassium,Purine metabolism,Reference proteome","C:cytosol,C:GMP reductase complex,F:GMP reductase activity,F:metal ion binding,P:GMP metabolic process,P:purine nucleobase metabolic process,P:purine-containing compound salvage"
B7VS90,"Complete proteome,Metal-binding,NADP,Oxidoreductase,Potassium,Reference proteome","C:GMP reductase complex,F:GMP reductase activity,F:metal ion binding,P:nucleotide metabolic process"
Q32L93,"Acetylation,Complete proteome,Metal-binding,NADP,Oxidoreductase,Potassium,Purine metabolism,Reference proteome","C:GMP reductase complex,F:GMP reductase activity,F:metal ion binding,P:GMP metabolic process,P:purine nucleobase metabolic process"
B5EUG3,"Complete proteome,Metal-binding,NADP,Oxidoreductase,Potassium","C:GMP reductase complex,F:GMP reductase activity,F:metal ion binding,P:nucleotide metabolic process"
Q6LGK4,"Complete proteome,Metal-binding,NADP,Oxidoreductase,Potassium,Reference proteome","C:GMP reductase complex,F:GMP reductase activity,F:metal ion binding,P:nucleotide metabolic process"
A7N204,"Complete proteome,Metal-binding,NADP,Oxidoreductase,Potassium,Reference proteome","C:GMP reductase complex,F:GMP reductase activity,F:metal ion binding,P:nucleotide metabolic process"
Q5X0P4,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Hydrogen ion transport,Ion transport,Membrane,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q5WSG9,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q3J6N2,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
P0A6E6,"3D-structure,ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Direct protein sequencing,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A8ACN5,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A4WGF6,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
P0A1B7,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A9MJS1,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A8G7M9,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
C6DJH3,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q5WSG8,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
B8GRB8,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A6W3S8,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A5UA11,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
P43715,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A5UGY9,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q0I5X3,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q65Q07,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
B4F0E7,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
P0ABB6,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q5WSG7,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q5X0P2,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Hydrogen ion transport,Ion transport,Membrane,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
B8GRB9,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q9HT19,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q3J6N0,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q88BX3,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q3K440,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
B0KRA9,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q1I2I6,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
C3K1E7,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q5X0P1,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q5WSG6,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A5III5,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q3J6M9,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
B8GRC0,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q0A4M6,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q2S6N9,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q21DK6,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q3SF64,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q1QSC8,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q5ZR98,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q5WSG5,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q4K3A6,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q87TT1,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q4ZL21,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q88BX1,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
B8GRC1,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q9HT17,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q1I2I4,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
B1JFU4,"ATP synthesis,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q5ZR97,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q83AF9,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q3SF62,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q0VKX0,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q60CR8,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
A1U7H8,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q0AJB4,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
A7N0Y5,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q2S6N7,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q82XQ2,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q4ZL19,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
Q88BW9,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
A3QJR5,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
Q8E8B5,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:lipid binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
